ParentLocationCode,SpatialDim,Dim1,Value,NumericValue,Date,IndicatorCode
EUR,NLD,SEX_BTSX,20.5 [16.3-24.7],20.5,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
WPR,MYS,SEX_MLE,44.2 [33.5-54.9],44.2,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,DEU,SEX_FMLE,20.4 [16.8-23.9],20.4,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,ESP,SEX_BTSX,26.2 [20.6-31.9],26.2,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
WPR,NRU,SEX_FMLE,49.4 [40.3-58.4],49.4,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AMR,URY,SEX_MLE,27.7 [23.4-32.0],27.7,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,MWI,SEX_MLE,15.6 [11.9-19.3],15.6,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,GHA,SEX_BTSX,3.2 [2.3-4.1],3.2,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,ZAF,SEX_MLE,34.7 [26.6-42.7],34.7,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
SEAR,NPL,SEX_BTSX,29.5 [24.3-34.8],29.5,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
WPR,IDN,SEX_MLE,59.7 [49.0-70.5],59.7,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,STP,SEX_BTSX,6.8 [4.0-9.6],6.8,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,TKM,SEX_FMLE,0.5 [0.3-0.7],0.5,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,MLI,SEX_BTSX,7.2 [5.1-9.3],7.2,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,GNB,SEX_MLE,26.0 [15.1-36.9],26.0,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,NER,SEX_BTSX,8.1 [5.7-10.4],8.1,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,LBR,SEX_BTSX,18.4 [11.8-25.1],18.4,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
SEAR,LKA,SEX_MLE,46.6 [37.1-56.2],46.6,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
