ParentLocationCode,SpatialDim,Dim1,Value,NumericValue,Date,IndicatorCode
EUR,UZB,SEX_BTSX,3.2 [3.1-3.4],3.2,2021-06-21T19:04:52+02:00,NCD_CHOL_MEANNONHDL_A
EUR,CZE,SEX_FMLE,4.2 [4.1-4.3],4.2,2021-06-21T18:53:04+02:00,NCD_CHOL_MEANNONHDL_A
WPR,CHN,SEX_MLE,3.2 [3.1-3.3],3.2,2021-06-21T18:33:20+02:00,NCD_CHOL_MEANNONHDL_A
EUR,AUT,SEX_FMLE,4.0 [3.8-4.1],4.0,2021-06-21T18:52:36+02:00,NCD_CHOL_MEANNONHDL_A
AFR,BDI,SEX_MLE,2.7 [2.4-3.0],2.7,2021-06-21T18:33:12+02:00,NCD_CHOL_MEANNONHDL_A
AFR,GAB,SEX_MLE,3.0 [2.7-3.3],3.0,2021-06-21T18:33:44+02:00,NCD_CHOL_MEANNONHDL_A
,SEAR,SEX_MLE,3.3 [3.2-3.4],3.3,2021-06-21T17:35:23+02:00,NCD_CHOL_MEANNONHDL_A
AMR,BRA,SEX_BTSX,3.7 [3.6-3.8],3.7,2021-06-21T19:05:13+02:00,NCD_CHOL_MEANNONHDL_A
EUR,PRT,SEX_BTSX,3.7 [3.5-3.8],3.7,2021-06-21T19:06:21+02:00,NCD_CHOL_MEANNONHDL_A
EUR,RUS,SEX_MLE,4.0 [3.9-4.2],4.0,2021-06-21T18:34:53+02:00,NCD_CHOL_MEANNONHDL_A
WPR,MYS,SEX_MLE,4.2 [4.0-4.4],4.2,2021-06-21T18:34:21+02:00,NCD_CHOL_MEANNONHDL_A
AFR,MRT,SEX_MLE,2.9 [2.6-3.1],2.9,2021-06-21T18:34:25+02:00,NCD_CHOL_MEANNONHDL_A
AMR,LCA,SEX_BTSX,3.3 [3.1-3.5],3.3,2021-06-21T19:06:04+02:00,NCD_CHOL_MEANNONHDL_A
WPR,SLB,SEX_MLE,3.3 [3.0-3.6],3.3,2021-06-21T18:35:07+02:00,NCD_CHOL_MEANNONHDL_A
EUR,MKD,SEX_BTSX,4.2 [4.0-4.4],4.2,2021-06-21T19:04:58+02:00,NCD_CHOL_MEANNONHDL_A
EUR,TJK,SEX_FMLE,2.9 [2.7-3.2],2.9,2021-06-21T18:54:51+02:00,NCD_CHOL_MEANNONHDL_A
EMR,KWT,SEX_MLE,4.2 [4.0-4.3],4.2,2021-06-21T18:34:09+02:00,NCD_CHOL_MEANNONHDL_A
EUR,IRL,SEX_BTSX,3.4 [3.3-3.5],3.4,2021-06-21T19:06:32+02:00,NCD_CHOL_MEANNONHDL_A
EUR,ARM,SEX_MLE,3.3 [3.1-3.6],3.3,2021-06-21T18:32:53+02:00,NCD_CHOL_MEANNONHDL_A
,SEAR,SEX_BTSX,3.3 [3.2-3.4],3.3,2021-06-21T17:36:26+02:00,NCD_CHOL_MEANNONHDL_A
,WPR,SEX_FMLE,3.1 [3.0-3.2],3.1,2021-06-21T17:35:58+02:00,NCD_CHOL_MEANNONHDL_A
EUR,UZB,SEX_FMLE,3.3 [3.0-3.5],3.3,2021-06-21T18:55:06+02:00,NCD_CHOL_MEANNONHDL_A
WPR,VUT,SEX_MLE,3.3 [2.9-3.7],3.3,2021-06-21T18:35:32+02:00,NCD_CHOL_MEANNONHDL_A
WPR,NRU,SEX_FMLE,4.2 [3.9-4.5],4.2,2021-06-21T18:54:07+02:00,NCD_CHOL_MEANNONHDL_A
SEAR,LKA,SEX_FMLE,3.4 [3.1-3.7],3.4,2021-06-21T18:54:44+02:00,NCD_CHOL_MEANNONHDL_A
AFR,COG,SEX_FMLE,3.0 [2.6-3.4],3.0,2021-06-21T18:52:59+02:00,NCD_CHOL_MEANNONHDL_A
AMR,VCT,SEX_BTSX,3.2 [3.0-3.3],3.2,2021-06-21T19:06:01+02:00,NCD_CHOL_MEANNONHDL_A
AFR,BWA,SEX_FMLE,2.8 [2.6-3.0],2.8,2021-06-21T18:52:46+02:00,NCD_CHOL_MEANNONHDL_A
WPR,MYS,SEX_FMLE,3.9 [3.7-4.0],3.9,2021-06-21T18:53:53+02:00,NCD_CHOL_MEANNONHDL_A
AFR,GNQ,SEX_BTSX,2.7 [2.4-2.9],2.7,2021-06-21T19:05:09+02:00,NCD_CHOL_MEANNONHDL_A
WPR,COK,SEX_BTSX,4.0 [3.8-4.2],4.0,2021-06-21T19:04:44+02:00,NCD_CHOL_MEANNONHDL_A
AMR,VEN,SEX_FMLE,3.8 [3.5-4.1],3.8,2021-06-21T18:55:08+02:00,NCD_CHOL_MEANNONHDL_A
EUR,POL,SEX_FMLE,3.9 [3.7-4.0],3.9,2021-06-21T18:54:23+02:00,NCD_CHOL_MEANNONHDL_A
EMR,BHR,SEX_FMLE,3.9 [3.6-4.1],3.9,2021-06-21T18:52:38+02:00,NCD_CHOL_MEANNONHDL_A
AFR,NGA,SEX_BTSX,2.1 [1.8-2.4],2.1,2021-06-21T19:04:16+02:00,NCD_CHOL_MEANNONHDL_A
AFR,BDI,SEX_FMLE,2.5 [2.2-2.8],2.5,2021-06-21T18:52:50+02:00,NCD_CHOL_MEANNONHDL_A
AMR,BHS,SEX_MLE,3.5 [3.3-3.8],3.5,2021-06-21T18:32:57+02:00,NCD_CHOL_MEANNONHDL_A
AMR,BHS,SEX_FMLE,3.9 [3.5-4.2],3.9,2021-06-21T18:52:37+02:00,NCD_CHOL_MEANNONHDL_A
AMR,CUB,SEX_BTSX,3.5 [3.3-3.6],3.5,2021-06-21T19:05:33+02:00,NCD_CHOL_MEANNONHDL_A
EMR,JOR,SEX_FMLE,3.6 [3.5-3.8],3.6,2021-06-21T18:53:39+02:00,NCD_CHOL_MEANNONHDL_A
WPR,FJI,SEX_BTSX,3.9 [3.8-4.1],3.9,2021-06-21T19:05:05+02:00,NCD_CHOL_MEANNONHDL_A
AFR,DZA,SEX_MLE,3.6 [3.4-3.8],3.6,2021-06-21T18:32:48+02:00,NCD_CHOL_MEANNONHDL_A
AFR,NAM,SEX_BTSX,2.8 [2.6-3.0],2.8,2021-06-21T19:06:33+02:00,NCD_CHOL_MEANNONHDL_A
WPR,MHL,SEX_MLE,3.6 [3.4-3.8],3.6,2021-06-21T18:34:24+02:00,NCD_CHOL_MEANNONHDL_A
AMR,PAN,SEX_FMLE,3.8 [3.6-4.0],3.8,2021-06-21T18:54:19+02:00,NCD_CHOL_MEANNONHDL_A
,AMR,SEX_BTSX,3.5 [3.5-3.6],3.5,2021-06-21T17:36:27+02:00,NCD_CHOL_MEANNONHDL_A
SEAR,MDV,SEX_BTSX,3.3 [3.1-3.5],3.3,2021-06-21T19:05:55+02:00,NCD_CHOL_MEANNONHDL_A
AMR,PER,SEX_MLE,3.5 [3.3-3.6],3.5,2021-06-21T18:34:49+02:00,NCD_CHOL_MEANNONHDL_A
,WB_LMI,SEX_FMLE,3.3 [3.2-3.4],3.3,2021-06-21T18:17:40+02:00,NCD_CHOL_MEANNONHDL_A
SEAR,MMR,SEX_FMLE,3.2 [3.0-3.5],3.2,2021-06-21T18:54:06+02:00,NCD_CHOL_MEANNONHDL_A
EUR,CYP,SEX_BTSX,4.1 [4.0-4.3],4.1,2021-06-21T19:04:56+02:00,NCD_CHOL_MEANNONHDL_A
EUR,GEO,SEX_BTSX,3.1 [3.0-3.3],3.1,2021-06-21T19:06:44+02:00,NCD_CHOL_MEANNONHDL_A
WPR,MYS,SEX_BTSX,3.7 [3.6-3.9],3.7,2021-06-21T19:04:54+02:00,NCD_CHOL_MEANNONHDL_A
EMR,MAR,SEX_FMLE,3.2 [3.0-3.3],3.2,2021-06-21T18:54:04+02:00,NCD_CHOL_MEANNONHDL_A
AFR,UGA,SEX_BTSX,2.6 [2.4-2.8],2.6,2021-06-21T19:05:48+02:00,NCD_CHOL_MEANNONHDL_A
EUR,CYP,SEX_MLE,4.2 [3.9-4.5],4.2,2021-06-21T18:33:28+02:00,NCD_CHOL_MEANNONHDL_A
EMR,OMN,SEX_BTSX,3.4 [3.2-3.6],3.4,2021-06-21T19:04:20+02:00,NCD_CHOL_MEANNONHDL_A
EUR,FIN,SEX_FMLE,3.9 [3.8-4.0],3.9,2021-06-21T18:53:16+02:00,NCD_CHOL_MEANNONHDL_A
AMR,COL,SEX_BTSX,3.8 [3.6-4.0],3.8,2021-06-21T19:04:18+02:00,NCD_CHOL_MEANNONHDL_A
WPR,WSM,SEX_FMLE,3.8 [3.6-4.0],3.8,2021-06-21T18:54:32+02:00,NCD_CHOL_MEANNONHDL_A
AFR,SWZ,SEX_FMLE,2.9 [2.6-3.1],2.9,2021-06-21T18:54:47+02:00,NCD_CHOL_MEANNONHDL_A
EUR,UKR,SEX_MLE,3.9 [3.6-4.2],3.9,2021-06-21T18:35:27+02:00,NCD_CHOL_MEANNONHDL_A
EUR,SWE,SEX_MLE,4.2 [4.1-4.4],4.2,2021-06-21T18:35:15+02:00,NCD_CHOL_MEANNONHDL_A
AMR,NIC,SEX_MLE,3.4 [3.1-3.7],3.4,2021-06-21T18:34:38+02:00,NCD_CHOL_MEANNONHDL_A
AMR,JAM,SEX_FMLE,3.6 [3.3-3.9],3.6,2021-06-21T18:53:38+02:00,NCD_CHOL_MEANNONHDL_A
EUR,HRV,SEX_BTSX,4.1 [4.0-4.2],4.1,2021-06-21T19:05:09+02:00,NCD_CHOL_MEANNONHDL_A
EMR,SYR,SEX_MLE,3.4 [3.0-3.8],3.4,2021-06-21T18:35:16+02:00,NCD_CHOL_MEANNONHDL_A
,EUR,SEX_FMLE,3.9 [3.9-4.0],3.9,2021-06-21T17:35:58+02:00,NCD_CHOL_MEANNONHDL_A
SEAR,NPL,SEX_BTSX,2.9 [2.7-3.1],2.9,2021-06-21T19:04:46+02:00,NCD_CHOL_MEANNONHDL_A
EMR,PAK,SEX_MLE,3.1 [2.8-3.4],3.1,2021-06-21T18:34:44+02:00,NCD_CHOL_MEANNONHDL_A
EMR,SOM,SEX_FMLE,2.8 [2.4-3.2],2.8,2021-06-21T18:54:40+02:00,NCD_CHOL_MEANNONHDL_A
AMR,MEX,SEX_BTSX,3.8 [3.7-3.9],3.8,2021-06-21T19:06:37+02:00,NCD_CHOL_MEANNONHDL_A
AFR,COM,SEX_FMLE,2.7 [2.3-3.1],2.7,2021-06-21T18:52:58+02:00,NCD_CHOL_MEANNONHDL_A
AMR,JAM,SEX_BTSX,3.4 [3.2-3.6],3.4,2021-06-21T19:04:27+02:00,NCD_CHOL_MEANNONHDL_A
WPR,PLW,SEX_MLE,3.3 [3.0-3.6],3.3,2021-06-21T18:34:45+02:00,NCD_CHOL_MEANNONHDL_A
WPR,LAO,SEX_BTSX,3.0 [2.9-3.2],3.0,2021-06-21T19:05:38+02:00,NCD_CHOL_MEANNONHDL_A
EUR,UKR,SEX_MLE,4.2 [3.9-4.4],4.2,2021-06-21T18:35:27+02:00,NCD_CHOL_MEANNONHDL_A
EUR,NLD,SEX_FMLE,4.2 [4.0-4.3],4.2,2021-06-21T18:54:09+02:00,NCD_CHOL_MEANNONHDL_A
EMR,LBN,SEX_MLE,4.2 [4.0-4.4],4.2,2021-06-21T18:34:13+02:00,NCD_CHOL_MEANNONHDL_A
EUR,CZE,SEX_MLE,4.5 [4.3-4.6],4.5,2021-06-21T18:33:29+02:00,NCD_CHOL_MEANNONHDL_A
AFR,SWZ,SEX_MLE,2.6 [2.4-2.8],2.6,2021-06-21T18:35:14+02:00,NCD_CHOL_MEANNONHDL_A
AFR,MRT,SEX_FMLE,3.0 [2.7-3.2],3.0,2021-06-21T18:53:58+02:00,NCD_CHOL_MEANNONHDL_A
AFR,CAF,SEX_MLE,2.6 [2.2-3.0],2.6,2021-06-21T18:33:16+02:00,NCD_CHOL_MEANNONHDL_A
EMR,IRQ,SEX_FMLE,3.8 [3.6-4.0],3.8,2021-06-21T18:53:34+02:00,NCD_CHOL_MEANNONHDL_A
EUR,AUT,SEX_BTSX,4.0 [3.8-4.1],4.0,2021-06-21T19:05:54+02:00,NCD_CHOL_MEANNONHDL_A
EUR,SWE,SEX_FMLE,3.7 [3.6-3.8],3.7,2021-06-21T18:54:48+02:00,NCD_CHOL_MEANNONHDL_A
AMR,BHS,SEX_BTSX,3.8 [3.6-4.1],3.8,2021-06-21T19:04:21+02:00,NCD_CHOL_MEANNONHDL_A
AFR,ZAF,SEX_FMLE,3.2 [3.1-3.4],3.2,2021-06-21T18:54:42+02:00,NCD_CHOL_MEANNONHDL_A
