ParentLocationCode,SpatialDim,Dim1,Value,NumericValue,Date,IndicatorCode
WPR,IDN,SEX_FMLE,4.3 [3.8-4.8],4.3,2021-06-21T18:47:38+02:00,NCD_CHOL_MEANTOTALCHOL_A
AMR,CUB,SEX_BTSX,4.6 [4.3-4.8],4.6,2021-06-21T19:03:57+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,MLT,SEX_FMLE,5.2 [4.6-5.7],5.2,2021-06-21T18:48:07+02:00,NCD_CHOL_MEANTOTALCHOL_A
EMR,YEM,SEX_BTSX,4.5 [4.3-4.8],4.5,2021-06-21T19:03:52+02:00,NCD_CHOL_MEANTOTALCHOL_A
WPR,AUS,SEX_MLE,5.3 [5.2-5.5],5.3,2021-06-21T18:26:09+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,PRT,SEX_FMLE,5.2 [4.9-5.5],5.2,2021-06-21T18:48:43+02:00,NCD_CHOL_MEANTOTALCHOL_A
WPR,COK,SEX_FMLE,4.9 [4.5-5.2],4.9,2021-06-21T18:46:06+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,AZE,SEX_FMLE,4.5 [4.1-4.9],4.5,2021-06-21T18:45:06+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,SYC,SEX_BTSX,5.2 [5.0-5.4],5.2,2021-06-21T19:02:41+02:00,NCD_CHOL_MEANTOTALCHOL_A
AMR,ATG,SEX_FMLE,4.6 [4.1-5.0],4.6,2021-06-21T18:45:01+02:00,NCD_CHOL_MEANTOTALCHOL_A
EMR,ARE,SEX_FMLE,4.9 [4.5-5.3],4.9,2021-06-21T18:49:38+02:00,NCD_CHOL_MEANTOTALCHOL_A
SEAR,BTN,SEX_FMLE,4.3 [3.9-4.7],4.3,2021-06-21T18:45:14+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,ZWE,SEX_BTSX,4.0 [3.6-4.4],4.0,2021-06-21T19:04:09+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,ALB,SEX_BTSX,5.2 [4.8-5.7],5.2,2021-06-21T19:01:11+02:00,NCD_CHOL_MEANTOTALCHOL_A
WPR,NZL,SEX_BTSX,5.1 [5.0-5.3],5.1,2021-06-21T19:03:25+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,UZB,SEX_FMLE,4.6 [4.4-4.9],4.6,2021-06-21T18:49:42+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,ZMB,SEX_BTSX,4.1 [3.7-4.4],4.1,2021-06-21T19:01:45+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,BFA,SEX_BTSX,3.7 [3.4-4.0],3.7,2021-06-21T19:02:15+02:00,NCD_CHOL_MEANTOTALCHOL_A
,EUR,SEX_FMLE,5.0 [5.0-5.1],5.0,2021-06-21T17:35:49+02:00,NCD_CHOL_MEANTOTALCHOL_A
WPR,SGP,SEX_MLE,5.0 [4.7-5.3],5.0,2021-06-21T18:28:47+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,AZE,SEX_BTSX,4.6 [4.2-4.9],4.6,2021-06-21T19:01:45+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,SWE,SEX_FMLE,5.9 [5.8-6.1],5.9,2021-06-21T18:49:07+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,RWA,SEX_BTSX,3.7 [3.4-4.0],3.7,2021-06-21T19:02:27+02:00,NCD_CHOL_MEANTOTALCHOL_A
AMR,BLZ,SEX_MLE,4.4 [4.1-4.7],4.4,2021-06-21T18:26:21+02:00,NCD_CHOL_MEANTOTALCHOL_A
WPR,AUS,SEX_FMLE,5.6 [5.4-5.7],5.6,2021-06-21T18:45:04+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,GHA,SEX_FMLE,4.2 [3.9-4.6],4.2,2021-06-21T18:47:24+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,GEO,SEX_MLE,4.2 [3.9-4.5],4.2,2021-06-21T18:27:13+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,FIN,SEX_BTSX,5.9 [5.8-6.0],5.9,2021-06-21T19:01:42+02:00,NCD_CHOL_MEANTOTALCHOL_A
